,Date,Username,Tweet,Lokasi
34,2023-03-02 16:19:09+00:00,Gimana mbak @puanmaharani_ri kira2 siap jadi Presiden atau hanya sekedar Wakil Presiden? Anggot Fraksi PDIP kok blm ada yg gigih memperjuangkan Tokoh Perempuannya? Yg ada memperjuangkan Nomer Urut Caleg dan Dapil Gemuk Partai.sambil bawa Gambar Bung Karno gimana mbak @GunturPuti,goenahmad,Jakarta
35,2023-03-02 16:01:37+00:00,@Siantar72 @ganjarpranowo @PDI_Perjuangan @puanmaharani_ri @KakekHalal @AriozAtha @4rios16 @sasakpujut @indarsih72 Beda sama dajal nyaru menus...kuda tau lah https://t.co/vkBOV9YQfb,madularang,
36,2023-03-02 15:28:19+00:00,"@republikaonline @didienAZHAR Mbak @puanmaharani_ri ini petugas partainya mokong, ndak mau gantian, mbalelo dari komando Bu Mega.. tolong disampluki mbak..",cak_ipho,Jakarta Capital Region
37,2023-03-02 15:19:53+00:00,@democrazymedia Muak bener sama komentar2 orang ini min @PDI_Perjuangan @puanmaharani_ri @hasto66 ; semoga PDEIPE nyungsep,caknan6666,
38,2023-03-02 15:03:53+00:00,"@tanyakanrl Ibu @puanmaharani_ri  tidurnya salah mungkin, coba di ganti posisi nya.",T1234CZ,Tanah Air Jaya Sakti 
39,2023-03-02 14:35:29+00:00,"Data apa yg diberikan @KPU_ID ke @MahkamahAgung smp Pengadilan memenangkan partai tsb. Yg aneh itu @KPU_ID nya, jika banding wajib kasih data baru
Cc @tifsembiring @Yusrilihza_Mhd @jokowi @puanmaharani_ri @jansen_jsp @mohmahfudmd @cakimiNOW @ZUL_Hasan @Fahrihamzah @febridiansyah",Hendrikorachman,
40,2023-03-02 14:24:54+00:00,@ragezospirit @PDI_Perjuangan @puanmaharani_ri @jokowi @ListyoSigitP @DivHumas_Polri taek😑,mfthazm,dimana Weh moal bebeja
41,2023-03-02 14:23:40+00:00,Terimakasih bu @puanmaharani_ri banyak saudara disana. Semoga @KemenPU bisa memperjuangkan saudara dicianjur agar dapat berlebaran dirumah baru. Aamiin,buayakotak,"Jawa Barat, Indonesia"
42,2023-03-02 14:20:50+00:00,"Nah yg seperti ini bagus ada manfaat untuk masyarakat. Mantap bu @puanmaharani_ri sukses terus bu

Ramein dengan Ekspresikan Gayamu 
berita ekonomi tetkini
Asuransi AIA yg Silent Formula E dan Gelora Buat Konser",buayakotak,"Jawa Barat, Indonesia"
43,2023-03-02 14:18:39+00:00,@mfthazm @PDI_Perjuangan @puanmaharani_ri @jokowi @ListyoSigitP @DivHumas_Polri,ragezospirit,new world
44,2023-03-02 14:06:48+00:00,@liputan6dotcom puan capres @PDI_Perjuangan @puanmaharani_ri,ubinhasnanto1,
45,2023-03-02 13:18:31+00:00,"@satria_preda @RajaJuliAntoni @TjahjantoHadi @puanmaharani_ri Yg zona bisnis (lupa warnanya), pinggir jalan",iyhmdwfery,
46,2023-03-02 13:02:14+00:00,@Siantar72 @ganjarpranowo @PDI_Perjuangan @puanmaharani_ri @KakekHalal @AriozAtha @4rios16 @sasakpujut @indarsih72 Mantap betul,indra_hut,Bah-butong
47,2023-03-02 12:59:37+00:00,@PDI_Perjuangan @puanmaharani_ri @KejaksaanRI @KPK_RI,tsu_basha,
48,2023-03-02 12:48:56+00:00,@puanmaharani_ri Berlatih jadi presiden ...bagi2 sertifikat,konohatercinta,"Kota Surabaya, Jawa Timur"
49,2023-03-02 12:48:26+00:00,@msyuono @puanmaharani_ri Kan merintis dari anggota DPR RI jg,TimoraSinaga,"Cilegon, Indonesia"
50,2023-03-02 12:43:05+00:00,@puanmaharani_ri Ketua @DPR_RI Puteri dari Ketua @PDI_Perjuangan Megawati Soekarnoputri [Profil Puan Maharani 📺 selengkapnya tersedia di @fajarpostv: https://t.co/9Axic5snZH],fajarposmedia,Indonesia
51,2023-03-02 12:16:13+00:00,"@Siantar72 @ganjarpranowo @PDI_Perjuangan @puanmaharani_ri @KakekHalal @AriozAtha @4rios16 @sasakpujut @indarsih72 Kuda binatang pintar yang punya intuisi kuat.
Saking kuatnya, kuda tahu orang ""Munafik"" yang tingkah polanya di-mana2 selalu meresahkan.
Ketika org itu naik, kudanya tak mau bergerak, dipaksa2 dia mala marah, brontak.
Padahal dia itu Capres lho..
Malu sih, tapi ya.. 😂",saibibinKusim,"Kota Semarang, Jawa Tengah"
52,2023-03-02 12:02:45+00:00,"@Siantar72 @ganjarpranowo @PDI_Perjuangan @puanmaharani_ri @KakekHalal @AriozAtha @4rios16 @indarsih72 Tak usah di bnding banding eeeee,, pak @ganjarpranowo gitu lohhh",sasakpujut,
53,2023-03-02 12:02:41+00:00,"Tujuan adanya pidana agar org berprilaku baik kedepannya.Jika proses tdk adil, LAPAS langgar HAM, namanya balas dendam dlm hukum NKRI
Cc @jokowi @mohmahfudmd @puanmaharani_ri @DPR_RI @MahkamahAgung @febridiansyah @muannas_alaidid @ListyoSigitP @ST_Burhanuddin @DivHumas_Polri",Hendrikorachman,
54,2023-03-02 11:43:58+00:00,"Mengintimidasi anak usia dibawah 18 th sdh langgar UU no 11 thn 2012,apalagi menuduh sbg otak pembunuhan berencana bisa dipidana.UU TPKS pelecehan seksual ttg akal pikir bisa dipidana
Cc @DivHumas_Polri @ListyoSigitP @mohmahfudmd @muannas_alaidid @puanmaharani_ri @ST_Burhanuddin",Hendrikorachman,
55,2023-03-02 11:22:52+00:00,@NasDem @aniesbaswedan Nih Pk @aniesbaswedan @NasDem @PKSejahtera @PDemokrat Apa kata bu @puanmaharani_ri sbg ketua @DPR_RI tentang IKN https://t.co/GSBqf0vYHT,RaniaDanRayhan,
56,2023-03-02 11:20:01+00:00,"Kau jadi buzzer ganjar jabgI songong ke partai PDI-P. 
Tanpa PDI-P, jokowi dan ganjar gk bisa jadi presiden dan gubernur. 

Sok hebat kau sebagai relawan ganjar daripada PDI-P ya cok.. 

Hati hati mbak @puanmaharani_ri ..! https://t.co/mNT2ax0Ltq",Anaksemut4,banjar baru Kalimantan Selatan
57,2023-03-02 11:09:00+00:00,@puanmaharani_ri https://t.co/Ca2NpFINR3,MAMANSU82647094,
58,2023-03-02 11:00:01+00:00,"Halo #SobATRBPNJabar Wakil Menteri Agraria dan Tata Ruang/ Wakil Kepala Badan Pertanahan Nasional (ATR/BPN), Raja Juli Antoni bersama dengan Ketua Dewan Perwakilan Rakyat Republik Indonesia (DPR RI), Puan Maharani.. cont: https://t.co/ujN4CFBZeM https://t.co/o074OSKZOf",kantah_kbb,Jl. Raya Ciburuy No.334 KBB
59,2023-03-02 10:12:25+00:00,"@ShamsiAli2 The underlying notoriously  devastating problems for the Indonesia Leaders from the TOP DOWN, espescially the last 15 yrs, have been severely LACKING IN PRIORITY @jokowi @Kiyai_MarufAmin @puanmaharani_ri @bamsoet10 @Puspen_TNI @officialMKRI",ElangUtama2,South East Asia
60,2023-03-02 09:59:15+00:00,"PAN Dukung Ganjar, PDIP: Partai Tidak Percaya Diri https://t.co/O3yFCi8Gop lewat @pdipbali @PDI_Perjuangan @puanmaharani_ri @ganjarpranowo @sahabatganjar @Ganjarist_Ind @GanjarIndramayu @sahabatganjarid @ZUL_Hasan @YandriSusanto @eddy_soeparno @salehdaulay @aniesbaswedan",teropongmetro,Surabaya
61,2023-03-02 09:21:03+00:00,"@kemkominfo @PlateJohnny , Menteri BUMN Erick Thohir, Menko Marves Luhut Panjaitan hingga Ketua DPR RI Puan Maharani turut serta hadir di gelaran F1 Powerboad Lake Toba, Indonesia. https://t.co/QBBexGGqTl",PoponDisini,di hatimu
62,2023-03-02 09:18:19+00:00,"@kemkominfo @PlateJohnny , dg beberapa Menteri seperti Menteri BUMN Erick Thohir, Menko Marves Luhut Panjaitan dan Ketua DPR RI Puan Maharani tampak hadir di gelaran F1 Powerboad Lake Toba, Indonesia. https://t.co/Fqs5XFYJcG",si_demplonn,
63,2023-03-02 09:16:19+00:00,"Resmi Deklarasi Dukung Anies, AHY: Lengkap Sudah Koalisi Perubahan https://t.co/DYAkXYMAmC @PDemokrat @PKSejahtera @NasDem @DPP_PartaiUmmat @jokowi @puanmaharani_ri @PasukanAnies @aniesfor2024 @aniesbaswedan @Relawananies @SAHABATAnies1 @AgusYudhoyono @Edhie_Baskoro @cakimiNOW",teropongmetro,Surabaya
